0x0182 1 .X.....XX......., 3 bits, 2 clusters
0x0183 1 XX.....XX......., 4 bits, 2 clusters
0x0184 1 ..X....XX......., 3 bits, 2 clusters
0x0186 1 .XX....XX......., 4 bits, 2 clusters
0x0187 1 XXX....XX......., 5 bits, 2 clusters
0x0188 1 ...X...XX......., 3 bits, 2 clusters
0x0189 1 X..X...XX......., 4 bits, 3 clusters
0x018c 1 ..XX...XX......., 4 bits, 2 clusters
0x018e 1 .XXX...XX......., 5 bits, 2 clusters
0x018f 1 XXXX...XX......., 6 bits, 2 clusters
0x0190 1 ....X..XX......., 3 bits, 2 clusters
0x0191 1 X...X..XX......., 4 bits, 3 clusters
0x0192 1 .X..X..XX......., 4 bits, 3 clusters
0x0193 1 XX..X..XX......., 5 bits, 3 clusters
0x0198 1 ...XX..XX......., 4 bits, 2 clusters
0x0199 1 X..XX..XX......., 5 bits, 3 clusters
0x019c 1 ..XXX..XX......., 5 bits, 2 clusters
0x019e 1 .XXXX..XX......., 6 bits, 2 clusters
0x019f 1 XXXXX..XX......., 7 bits, 2 clusters
0x01c1 1 X.....XXX......., 4 bits, 2 clusters
0x01c2 1 .X....XXX......., 4 bits, 2 clusters
0x01c3 1 XX....XXX......., 5 bits, 2 clusters
0x01c4 1 ..X...XXX......., 4 bits, 2 clusters
0x01c6 1 .XX...XXX......., 5 bits, 2 clusters
0x01c7 1 XXX...XXX......., 6 bits, 2 clusters
0x01c8 1 ...X..XXX......., 4 bits, 2 clusters
0x01c9 1 X..X..XXX......., 5 bits, 3 clusters
0x01cc 1 ..XX..XXX......., 5 bits, 2 clusters
0x01ce 1 .XXX..XXX......., 6 bits, 2 clusters
0x01cf 1 XXXX..XXX......., 7 bits, 2 clusters
0x01e1 1 X....XXXX......., 5 bits, 2 clusters
0x01e2 1 .X...XXXX......., 5 bits, 2 clusters
0x01e3 1 XX...XXXX......., 6 bits, 2 clusters
0x01e4 1 ..X..XXXX......., 5 bits, 2 clusters
0x01e6 1 .XX..XXXX......., 6 bits, 2 clusters
0x01e7 1 XXX..XXXX......., 7 bits, 2 clusters
0x01f1 1 X...XXXXX......., 6 bits, 2 clusters
0x01f2 1 .X..XXXXX......., 6 bits, 2 clusters
0x01f3 1 XX..XXXXX......., 7 bits, 2 clusters
0x01f9 1 X..XXXXXX......., 7 bits, 2 clusters
0x0201 1 X........X......, 2 bits, 2 clusters
0x0202 1 .X.......X......, 2 bits, 2 clusters
0x0203 1 XX.......X......, 3 bits, 2 clusters
0x0204 1 ..X......X......, 2 bits, 2 clusters
0x0206 1 .XX......X......, 3 bits, 2 clusters
0x0207 1 XXX......X......, 4 bits, 2 clusters
0x0208 1 ...X.....X......, 2 bits, 2 clusters
0x0209 1 X..X.....X......, 3 bits, 3 clusters
0x020c 1 ..XX.....X......, 3 bits, 2 clusters
0x020e 1 .XXX.....X......, 4 bits, 2 clusters
0x020f 1 XXXX.....X......, 5 bits, 2 clusters
0x0210 1 ....X....X......, 2 bits, 2 clusters
0x0211 1 X...X....X......, 3 bits, 3 clusters
0x0212 1 .X..X....X......, 3 bits, 3 clusters
0x0213 1 XX..X....X......, 4 bits, 3 clusters
0x0218 1 ...XX....X......, 3 bits, 2 clusters
0x0219 1 X..XX....X......, 4 bits, 3 clusters
0x021c 1 ..XXX....X......, 4 bits, 2 clusters
0x021e 1 .XXXX....X......, 5 bits, 2 clusters
0x021f 1 XXXXX....X......, 6 bits, 2 clusters
0x0220 1 .....X...X......, 2 bits, 2 clusters
